revision,layout_sha256,状态,宽mm,功能,失败原因,目标附近障碍
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,主卧到窗,目标区域无完整可站立包络（含墙/家具/当前开启件）,south_B_0_sill、south_B_end、B_step_e_end、south_main_0、wardB
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,岛台至餐桌,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,620,储物取物,目标区域无完整可站立包络（含墙/家具/当前开启件）,bath_north_end、store_e_0、store_e_end、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,会客,起点包络受阻,coffee_table
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,儿童睡眠,起点包络受阻,bedA、chairA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,主卧睡眠,起点包络受阻,AB_east_0、AB_east_1、bath_north_0、bedB、basinB、bathB_entry_jamb1、bathB_entry_jamb2、B_entry_jamb1
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,客房睡眠,起点包络受阻,C_east_end、bedC、sofa
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,主卫,起点包络受阻,AB_east_0、AB_east_1、wcB、basinB、glassB、bathB_entry_jamb1、bathB_entry_jamb2、bathB_entry_parked、bathB_entry_handle
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,公卫,起点包络受阻,wcA、basinA、glassA
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,备餐,起点包络受阻,island、sink、dishwasher、prep、fridge
R2,d9b4359b2b866b116cf96863e3055fa512a87d94c43bcca20d89990c7ed41a96,normal6,900,就餐,起点包络受阻,bath_north_end、store_e_0、store_e_end、table、dining1、dining3、six_w、store_entry_jamb1、store_entry_jamb2、store_entry_parked、store_entry_handle
